,links,link_text,text_meta
16,"Link(url='http://api.scraperapi.com/search?tbm=lcl&q=Western+Iowa+Dental+Group&rflfq=1&num=20&stick=H4sIAAAAAAAAAB2QPUrEABSE2UKxNiKYKkd4_z-9IHZ21otELJbNkl3xPp7Ac3kKJyZNmLx5b765uR6HlCxL7Y5m1jYOG--YLfCQZVGzCV4bbznYJdOMUplM2jGZxJnC6toUEu3SUF0KZglpVcWuNIVqBjtnG-EAR5fUdkuEXExNsdvVKmoctEjJXRwJ8CPMexysqaoLyUy4RLEGfgqIoEAwbi3VsnHoBouHVLPATsYQAyipHqAQLYmyzY8hy-iIIudyb0qo6gZzIiwDVhnrN67IjYcYYAG5wv8TMOpTjKgQBTWaGZwQSmAgKuv_o-NQwsluzu6e3tKNWJIbvDS5bR84sdUSLF7tRmQhqBPV_ex2v7v7l3k5HeZpfzgv03ner28f0_uyfl89vM7ny7wep-flaz89zsfL_jA9rcvn6Q-rGL056AEAAA&sa=X&ved=2ahUKEwj2kIr8rqj6AhWiEFkFHR-JCo4Q6nUoAHoECEgQAQ', text='People also search for', fragment='', nofollow=False)",People also search for, 
17,"Link(url='http://api.scraperapi.com/search?tbm=lcl&q=Western+Iowa+Dental+Group&rflfq=1&num=20&stick=H4sIAAAAAAAAAB2QPUrEABSE2UKxNiKYKkd4_z-9IHZ21otELJbNkl3xPp7Ac3kKJyZNmLx5b765uR6HlCxL7Y5m1jYOG--YLfCQZVGzCV4bbznYJdOMUplM2jGZxJnC6toUEu3SUF0KZglpVcWuNIVqBjtnG-EAR5fUdkuEXExNsdvVKmoctEjJXRwJ8CPMexysqaoLyUy4RLEGfgqIoEAwbi3VsnHoBouHVLPATsYQAyipHqAQLYmyzY8hy-iIIudyb0qo6gZzIiwDVhnrN67IjYcYYAG5wv8TMOpTjKgQBTWaGZwQSmAgKuv_o-NQwsluzu6e3tKNWJIbvDS5bR84sdUSLF7tRmQhqBPV_ex2v7v7l3k5HeZpfzgv03ner28f0_uyfl89vM7ny7wep-flaz89zsfL_jA9rcvn6Q-rGL056AEAAA&sa=X&ved=2ahUKEwj2kIr8rqj6AhWiEFkFHR-JCo4Q63UoAXoECEgQAg', text='View 15+ more', fragment='', nofollow=False)",View 15+ more, 
18,"Link(url='https://doctor.webmd.com/practice/western-iowa-dental-group-37bf6476-2dc6-4e6c-9ab7-1cbeb35a352f', text='Western Iowa Dental Group in Council Bluffs, IAhttps://doctor.webmd.com › practice › western-iowa-de...', fragment='', nofollow=False)","Western Iowa Dental Group in Council Bluffs, IAhttps://doctor.webmd.com › practice › western-iowa-de...", 
19,"Link(url='https://doctor.webmd.com/practice/western-iowa-dental-group-pc-597d2f2f-3699-4515-9194-e4495467f80b', text='WESTERN IOWA DENTAL GROUP PC in Council Bluffs, IAhttps://doctor.webmd.com › practice › western-iowa-de...', fragment='', nofollow=False)","WESTERN IOWA DENTAL GROUP PC in Council Bluffs, IAhttps://doctor.webmd.com › practice › western-iowa-de...", 
20,"Link(url='http://api.scraperapi.com/search?q=Western+Iowa+Dental+Group/&ei=glAsY_bHO6Kh5NoPn5Kq8Ag&start=10&sa=N&ved=2ahUKEwj2kIr8rqj6AhWiEFkFHR-JCo4Q8tMDegQIARA6', text='2', fragment='', nofollow=False)",2, 
21,"Link(url='http://api.scraperapi.com/search?q=Western+Iowa+Dental+Group/&ei=glAsY_bHO6Kh5NoPn5Kq8Ag&start=20&sa=N&ved=2ahUKEwj2kIr8rqj6AhWiEFkFHR-JCo4Q8tMDegQIARA8', text='3', fragment='', nofollow=False)",3, 
22,"Link(url='http://api.scraperapi.com/search?q=Western+Iowa+Dental+Group/&ei=glAsY_bHO6Kh5NoPn5Kq8Ag&start=30&sa=N&ved=2ahUKEwj2kIr8rqj6AhWiEFkFHR-JCo4Q8tMDegQIARA-', text='4', fragment='', nofollow=False)",4, 
23,"Link(url='http://api.scraperapi.com/search?q=Western+Iowa+Dental+Group/&ei=glAsY_bHO6Kh5NoPn5Kq8Ag&start=40&sa=N&ved=2ahUKEwj2kIr8rqj6AhWiEFkFHR-JCo4Q8tMDegQIARBA', text='5', fragment='', nofollow=False)",5, 
24,"Link(url='http://api.scraperapi.com/search?q=Western+Iowa+Dental+Group/&ei=glAsY_bHO6Kh5NoPn5Kq8Ag&start=50&sa=N&ved=2ahUKEwj2kIr8rqj6AhWiEFkFHR-JCo4Q8tMDegQIARBC', text='6', fragment='', nofollow=False)",6, 
25,"Link(url='http://api.scraperapi.com/search?q=Western+Iowa+Dental+Group/&ei=glAsY_bHO6Kh5NoPn5Kq8Ag&start=60&sa=N&ved=2ahUKEwj2kIr8rqj6AhWiEFkFHR-JCo4Q8tMDegQIARBE', text='7', fragment='', nofollow=False)",7, 
26,"Link(url='http://api.scraperapi.com/search?q=Western+Iowa+Dental+Group/&ei=glAsY_bHO6Kh5NoPn5Kq8Ag&start=70&sa=N&ved=2ahUKEwj2kIr8rqj6AhWiEFkFHR-JCo4Q8tMDegQIARBG', text='8', fragment='', nofollow=False)",8, 
27,"Link(url='http://api.scraperapi.com/search?q=Western+Iowa+Dental+Group/&ei=glAsY_bHO6Kh5NoPn5Kq8Ag&start=80&sa=N&ved=2ahUKEwj2kIr8rqj6AhWiEFkFHR-JCo4Q8tMDegQIARBI', text='9', fragment='', nofollow=False)",9, 
28,"Link(url='http://api.scraperapi.com/search?q=Western+Iowa+Dental+Group/&ei=glAsY_bHO6Kh5NoPn5Kq8Ag&start=90&sa=N&ved=2ahUKEwj2kIr8rqj6AhWiEFkFHR-JCo4Q8tMDegQIARBK', text='10', fragment='', nofollow=False)",10, 
29,"Link(url='http://api.scraperapi.com/search?q=Western+Iowa+Dental+Group/&ei=glAsY_bHO6Kh5NoPn5Kq8Ag&start=10&sa=N&ved=2ahUKEwj2kIr8rqj6AhWiEFkFHR-JCo4Q8NMDegQIARBM', text='Next', fragment='', nofollow=False)",Next, 
